Ticker,ShortName,Sector,Industry,Price
NWSA,News Corporation,Communication Services,Entertainment,27.515
NWS,News Corporation,Communication Services,Entertainment,31.805
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,66.73
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,58.01
NI,NiSource Inc,Utilities,Utilities - Regulated Gas,39.105
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,193.0525
NSC,Norfolk Southern Corporation,Industrials,Railroads,223.77
NTRS,Northern Trust Corporation,Financial Services,Asset Management,97.31
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,489.28
NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,Travel Services,17.355
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,116.58
NUE,Nucor Corporation,Basic Materials,Steel,121.845
NVDA,NVIDIA Corporation,Technology,Semiconductors,114.4803
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,7120.2
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,188.1
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,1415.2346
OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,40.33
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,157.5
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,76.96
ON,ON Semiconductor Corporation,Technology,Semiconductors,41.56
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,82.45
ORCL,Oracle Corporation,Technology,Software - Infrastructure,151.29
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,97.05
PCAR,PACCAR Inc.,Industrials,Farm & Heavy Construction Machinery,91.28
PKG,Packaging Corporation of Americ,Consumer Cyclical,Packaging & Containers,186.45
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,121.88
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,188.4
PARA,Paramount Global,Communication Services,Entertainment,11.665
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,623.85
PAYX,"Paychex, Inc.",Technology,Software - Application,149.39
PAYC,"Paycom Software, Inc.",Technology,Software - Application,228.89
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,66.52
PNR,Pentair plc.,Industrials,Specialty Industrial Machinery,92.955
PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,133.875
PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General,24.045
